velocidade;rpm;J;eta;T;Q;Cp;Ct;Cq;Alpha 0;Alpha 1;Alpha 2;Alpha 3;Alpha 4;Alpha 5;Alpha 6;Alpha 7;Beta 0;Beta 1;Beta 2;Beta 3;Beta 4;Beta 5;Beta 6;Beta 7
11.447236180904522;1000.0;0.3434170854271356;0.7773151699743749;670.9027008402089;94.34837448159664;0.0544415804356266;0.1232270266849362;0.0086646466360649;21.92943087142005;21.675268560296967;19.62768729171524;18.16462047640672;17.134290477545846;16.409215094766594;15.844835920903098;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
11.944723618090451;1000.0;0.3583417085427135;0.8030350051351388;679.2984100079248;96.4880675210641;0.0556762415663113;0.1247690957157412;0.0088611490580569;21.132577598139;21.044008399938107;19.10917764619673;17.72616128587265;16.755098745371374;16.07548024690994;15.546987449348125;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
12.44221105527638;1000.0;0.3732663316582914;0.827639477755233;688.4627741385748;98.8344182862305;0.0570301498303792;0.1264523462703504;0.0090766302507762;20.3440629417041;20.41668985189537;18.5928000501132;17.288974108896035;16.37672309280502;15.742298803090511;15.249530924761377;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
12.93969849246231;1000.0;0.3881909547738693;0.8499203501462037;697.1183863497812;101.35002224968132;0.0584817217972825;0.1280421525948577;0.0093076551045625;19.56405063871555;19.79342508020656;18.0786247374472;16.85310409957835;15.999193782111169;15.409691863919328;14.952481576020553;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
13.43718592964824;1000.0;0.4031155778894472;0.8690641914166194;704.1231081178414;103.9624367108088;0.0599891560567292;0.1293287341440932;0.0095475707183395;18.79268831348966;19.174320967908287;17.56671992591641;16.41859553065943;15.62254064641093;15.077680302440434;14.65585450279296;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
13.93467336683417;1000.0;0.4180402010050251;0.8852622960227072;709.2477368124332;106.60907278315764;0.0615163371174344;0.130269992475753;0.0097906291331471;18.03010779763285;18.559479090923247;17.057151782570923;15.985491772486103;15.246793077646943;14.746284757123089;14.359664671310814;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
14.4321608040201;1000.0;0.432964824120603;0.8997824847116241;712.5993912058393;109.14671099368148;0.0629806234447171;0.1308856024663786;0.010023677540236;17.27642549809085;17.948995706237397;16.549984393592243;15.553835273383603;14.871980015078812;14.415525625077226;14.063926910249156;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
14.92964824120603;1000.0;0.4478894472361809;0.9107639864470648;715.0854351206699;111.93683947320136;0.0645906035305229;0.1313422227772658;0.0102799138291715;16.531742808227623;17.342961753840676;16.04527973825788;15.123667541438294;14.498129934317072;14.085423055496806;13.768655906708926;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
15.42713567839196;1000.0;0.4628140703517588;0.9201103623552292;714.9805543566059;114.4750889260608;0.0660552425612725;0.1313229589634582;0.0105130183707606;15.796146556540242;16.741462871857618;15.54309766702203;14.695029127696442;14.125270836902333;13.75599694333512;13.47386620230744;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
15.924623115577887;1000.0;0.4777386934673366;0.9277793338987588;713.167738789297;116.89274015704817;0.0674502931350666;0.1309899928388504;0.0107350475654431;15.069709487722482;16.144579424253422;15.043495883650278;14.267959610780204;13.753430240435128;13.427266923215852;13.17957218937856;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
